Delta,Theta,Alpha,Beta,Y
3.01963E+05,9.0612E+04,3.3735E+04,2.7946E+04,0E+00
7.3787E+04,2.8083E+04,1.439E+03,2.746E+03,0E+00
7.58353E+05,3.83745E+05,2.01999E+05,3.6293E+04,0E+00
2.01224E+06,1.2935E+05,6.1236E+04,1.1488E+04,0E+00
1.005145E+06,3.54328E+05,3.7102E+04,4.5307E+04,0E+00
1.786446E+06,1.76766E+05,5.9352E+04,1.5054E+04,0E+00
6.35191E+05,1.22446E+05,9.0107E+04,3.623E+04,0E+00
1.61098E+05,1.2119E+04,1.963E+03,1.277E+03,0E+00
4.92796E+05,1.20998E+05,6.3697E+04,1.0769E+04,0E+00
8.2048E+04,1.16131E+05,4.7317E+04,4.1642E+04,0E+00
7.57165E+05,1.86196E+05,3.242E+03,1.8854E+04,0E+00
6.67513E+05,1.41854E+05,7.505E+04,4.5926E+04,0E+00
1.6536E+05,4.2119E+04,3.158E+03,7.27E+03,0E+00
7.37665E+05,8.4275E+04,2.235E+03,2.1705E+04,0E+00
5.77024E+05,1.79555E+05,2.5937E+04,4.379E+04,0E+00
2.34964E+05,8.0944E+04,7.991E+03,1.1828E+04,0E+00
6.71467E+05,1.33227E+05,7.142E+03,2.3373E+04,0E+00
3.329E+04,1.4729E+04,1.098E+04,1.4316E+04,0E+00
1.025416E+06,2.68122E+05,6.7285E+04,1.0083E+04,0E+00
7.56442E+05,9.7387E+04,5.9785E+04,1.6122E+04,0E+00
8.7109E+04,7.2E+03,4.987E+03,2.13E+03,0E+00
8.02937E+05,8.3858E+04,3.229E+03,2.7104E+04,0E+00
1.57687E+05,2.83941E+05,2.7259E+04,1.5132E+04,0E+00
6.13031E+05,7.58257E+05,2.46386E+05,2.6636E+04,0E+00
6.03204E+05,4.7342E+04,3.215E+03,1.863E+03,0E+00
2.34796E+05,1.82944E+05,5.3997E+04,1.9633E+04,0E+00
1.88099E+05,1.44504E+05,3.546E+03,1.6381E+04,0E+00
6.32782E+05,1.62376E+05,1.2692E+04,5.848E+03,0E+00
4.77853E+05,2.6424E+05,2.17609E+05,2.2228E+04,0E+00
7.31447E+05,6.9065E+04,2.3286E+04,4.767E+03,0E+00
1.099119E+06,6.73426E+05,7.4729E+04,6.7019E+04,0E+00
1.969931E+06,1.85293E+05,4.1196E+04,7.827E+03,0E+00
1.363838E+06,3.16172E+05,6.1645E+04,1.86966E+05,0E+00
6.37681E+05,3.0439E+04,2.1521E+04,1.2856E+04,0E+00
4.23411E+05,1.28048E+05,7.0321E+04,2.2889E+04,0E+00
5.8512E+05,2.37694E+05,7.1643E+04,5.8807E+04,0E+00
1.103969E+06,8.3627E+04,6.8911E+04,4.4447E+04,0E+00
4.80086E+05,2.06751E+05,1.1652E+04,7.894E+03,0E+00
4.8448E+04,6.377E+03,2.89E+03,4.016E+03,0E+00
9.313E+03,1.5189E+04,1.7884E+04,1.1743E+04,0E+00
2.528E+05,4.1805E+04,2.358E+04,1.5411E+04,0E+00
1.95366E+05,6.5596E+04,5.12E+02,6.602E+03,0E+00
1.8403E+04,2.6289E+04,2.162E+03,2.4282E+04,0E+00
1.1723E+04,3.5281E+04,6.055E+03,2.4186E+04,0E+00
2.33282E+05,3.0666E+04,4.3745E+04,1.4309E+04,0E+00
